search_term,extractor_key,channel_id,channel,uploader_url,id,url,title,description,duration,view_count
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,dMwWiRDLQwE,https://www.youtube.com/watch?v=dMwWiRDLQwE,"""Han tratado de mat4rme"" Imperdible Javier Milei con el pelado liberal- 20/07/23",,2564.0,78926
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,ipBM8VU4WJE,https://www.youtube.com/watch?v=ipBM8VU4WJE,MILEI EXPLOTÓ POR EL ASES1NATO DE MORENA UNA NENA DE 11 AÑOS,,1298.0,1223445
"""javier milei""",YoutubeSearchURL,UCj6PcyLvpnIRT_2W_mwa9Aw,Todo Noticias,https://www.youtube.com/@todonoticias,ZTf2xNi-_dw,https://www.youtube.com/watch?v=ZTf2xNi-_dw,Javier Milei en SOMOS BUENOS (Programa Completo del 02/05/23),,3395.0,119020
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,kLv--LuLaZQ,https://www.youtube.com/watch?v=kLv--LuLaZQ,MILEI FESTEJÓ GANAR LAS ELECCIONES Y FEINMANN SE QUIERE M0RIR DE LA BRONCA,,1755.0,554783
"""javier milei""",YoutubeSearchURL,UC6NVDkuzY2exMOVFw4i9oHw,América TV,https://www.youtube.com/@americaenvivo,puB4obDuz9g,https://www.youtube.com/watch?v=puB4obDuz9g,💬 Las confesiones de la ex pareja de Javier Milei,,2844.0,24936
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,6AXhyun44I4,https://www.youtube.com/watch?v=6AXhyun44I4,"""Bullrich hace demagogia barata"" Imperdible Javier Milei con el pelado liberal- 27/06/23",,2752.0,109958
"""javier milei""",YoutubeSearchURL,UCz489cQmrgH57sShDiatwfw,El Peluca Milei,https://www.youtube.com/@ElPelucaMilei,3IE-W4bR4co,https://www.youtube.com/watch?v=3IE-W4bR4co,HISTÓRICO CIERRE DE CAMPAÑA DE MILEI *EXPLOTÓ EL MOVISTAR ARENA*,,2442.0,552663
"""javier milei""",YoutubeSearchURL,UC2Q91pxDF0BPf0eK44pgYMw,Telenueve,https://www.youtube.com/@TelenueveC9,QpzlWXQr43A,https://www.youtube.com/watch?v=QpzlWXQr43A,"La palabra de la sociedad tras el triunfo de Javier Milei: ""Nos merecemos vivir bien""",,1289.0,40025
"""javier milei""",YoutubeSearchURL,UCqz5tDLcGBJ5obqpSLSkiaQ,MILEI PRESIDENTE,https://www.youtube.com/@MILEIPRESIDENTE,iUTOvhU-vYw,https://www.youtube.com/watch?v=iUTOvhU-vYw,"Javier Milei y El Dipy en A Dos Voces, TN- 14/06/23",,1334.0,98123
"""javier milei""",YoutubeSearchURL,UChxGASjdNEYHhVKpl667Huw,Telefe Noticias,https://www.youtube.com/@Telefenoticias,6S_ZPXO_mJE,https://www.youtube.com/watch?v=6S_ZPXO_mJE,"JAVIER MILEI, EL MÁS VOTADO EN LAS PASO - Elección 2023",,1222.0,342409
